[18:23:48 INF] Bus started: "rabbitmq://localhost/"
[18:24:43 WRN] Failed to determine the https port for redirect.
[18:59:41 INF] HTTP POST /api/prices responded 202 in 4.7963 ms
[18:59:41 INF] HTTP POST /api/prices responded 202 in 3.5196 ms
[18:59:41 INF] HTTP POST /api/prices responded 202 in 7.4085 ms
[18:59:41 INF] HTTP POST /api/prices responded 202 in 5.4689 ms
[18:59:42 INF] HTTP POST /api/prices responded 202 in 9.2939 ms
[18:59:42 INF] HTTP POST /api/prices responded 202 in 8.4428 ms
[18:59:42 INF] HTTP POST /api/prices responded 202 in 8.0621 ms
[18:59:42 INF] HTTP POST /api/prices responded 202 in 6.9135 ms
[18:59:43 INF] HTTP POST /api/prices responded 202 in 5.6112 ms
[18:59:43 INF] HTTP POST /api/prices responded 202 in 3.6196 ms
[18:59:43 INF] HTTP POST /api/prices responded 202 in 5.3855 ms
[18:59:43 INF] HTTP POST /api/prices responded 202 in 7.1799 ms
[18:59:44 INF] HTTP POST /api/prices responded 202 in 2.3654 ms
[18:59:44 INF] HTTP POST /api/prices responded 202 in 3.7925 ms
[18:59:44 INF] HTTP POST /api/prices responded 202 in 3.5773 ms
[18:59:44 INF] HTTP POST /api/prices responded 202 in 4.1725 ms
[18:59:44 INF] HTTP POST /api/prices responded 202 in 5.8171 ms
[18:59:45 INF] HTTP POST /api/prices responded 202 in 4.5660 ms
[18:59:45 INF] HTTP POST /api/prices responded 202 in 5.8389 ms
[18:59:45 INF] HTTP POST /api/prices responded 202 in 8.7575 ms
[18:59:45 INF] HTTP POST /api/prices responded 202 in 5.3741 ms
[18:59:46 INF] HTTP POST /api/prices responded 202 in 8.1422 ms
[18:59:46 INF] HTTP POST /api/prices responded 202 in 8.8727 ms
[18:59:46 INF] HTTP POST /api/prices responded 202 in 4.2934 ms
[18:59:46 INF] HTTP POST /api/prices responded 202 in 4.6948 ms
[18:59:47 INF] HTTP POST /api/prices responded 202 in 3.5454 ms
[18:59:47 INF] HTTP POST /api/prices responded 202 in 4.6023 ms
[18:59:47 INF] HTTP POST /api/prices responded 202 in 5.2377 ms
[19:00:04 INF] Bus stopped: "rabbitmq://localhost/"
[19:06:51 INF] Bus started: "rabbitmq://localhost/"
[19:06:56 WRN] Failed to determine the https port for redirect.
[19:06:57 INF] HTTP POST /api/prices responded 202 in 239.1669 ms
[19:06:57 INF] HTTP POST /api/prices responded 202 in 6.9844 ms
[19:06:57 INF] HTTP POST /api/prices responded 202 in 12.0470 ms
[19:06:57 INF] HTTP POST /api/prices responded 202 in 5.4802 ms
[19:06:58 INF] HTTP POST /api/prices responded 202 in 5.4045 ms
[19:06:58 INF] HTTP POST /api/prices responded 202 in 3.0219 ms
[19:06:58 INF] HTTP POST /api/prices responded 202 in 3.6657 ms
[19:06:58 INF] HTTP POST /api/prices responded 202 in 3.7762 ms
[19:06:58 INF] HTTP POST /api/prices responded 202 in 3.6203 ms
[19:06:59 INF] HTTP POST /api/prices responded 202 in 6.0508 ms
[19:06:59 INF] HTTP POST /api/prices responded 202 in 3.6890 ms
[19:06:59 INF] HTTP POST /api/prices responded 202 in 3.7270 ms
[19:06:59 INF] HTTP POST /api/prices responded 202 in 2.9547 ms
[19:07:00 INF] HTTP POST /api/prices responded 202 in 7.9511 ms
[19:07:00 INF] HTTP POST /api/prices responded 202 in 3.3385 ms
[19:07:00 INF] HTTP POST /api/prices responded 202 in 25.9423 ms
[19:07:00 INF] HTTP POST /api/prices responded 202 in 2.4638 ms
[19:07:01 INF] HTTP POST /api/prices responded 202 in 5.4323 ms
[19:07:01 INF] HTTP POST /api/prices responded 202 in 2.5351 ms
[19:07:01 INF] HTTP POST /api/prices responded 202 in 3.2623 ms
[19:07:01 INF] HTTP POST /api/prices responded 202 in 5.2541 ms
[19:07:01 INF] HTTP POST /api/prices responded 202 in 3.1961 ms
[19:07:02 INF] HTTP POST /api/prices responded 202 in 5.1805 ms
[19:07:02 INF] HTTP POST /api/prices responded 202 in 6.6382 ms
[19:07:02 INF] HTTP POST /api/prices responded 202 in 3.4765 ms
[19:07:02 INF] HTTP POST /api/prices responded 202 in 4.2303 ms
[19:07:03 INF] HTTP POST /api/prices responded 202 in 4.3047 ms
[19:07:03 INF] HTTP POST /api/prices responded 202 in 2.6591 ms
[19:07:03 INF] HTTP POST /api/prices responded 202 in 9.1126 ms
[19:07:03 INF] HTTP POST /api/prices responded 202 in 4.9495 ms
[19:07:04 INF] HTTP POST /api/prices responded 202 in 4.2223 ms
[19:07:04 INF] HTTP POST /api/prices responded 202 in 2.1693 ms
[19:07:04 INF] HTTP POST /api/prices responded 202 in 5.7767 ms
[19:07:04 INF] HTTP POST /api/prices responded 202 in 4.4873 ms
[19:07:04 INF] HTTP POST /api/prices responded 202 in 5.4041 ms
[19:07:05 INF] HTTP POST /api/prices responded 202 in 3.7387 ms
[19:07:05 INF] HTTP POST /api/prices responded 202 in 3.0675 ms
[19:07:05 INF] HTTP POST /api/prices responded 202 in 3.5255 ms
[19:07:05 INF] HTTP POST /api/prices responded 202 in 4.3102 ms
[19:07:06 INF] HTTP POST /api/prices responded 202 in 4.1095 ms
[19:07:06 INF] HTTP POST /api/prices responded 202 in 4.1775 ms
[19:07:06 INF] HTTP POST /api/prices responded 202 in 7.7744 ms
[19:07:06 INF] HTTP POST /api/prices responded 202 in 2.3919 ms
[19:07:07 INF] HTTP POST /api/prices responded 202 in 3.8973 ms
[19:07:07 INF] HTTP POST /api/prices responded 202 in 4.3178 ms
[19:07:07 INF] HTTP POST /api/prices responded 202 in 10.9326 ms
[19:07:07 INF] HTTP POST /api/prices responded 202 in 4.5795 ms
[19:07:08 INF] HTTP POST /api/prices responded 202 in 7.9098 ms
[19:07:08 INF] HTTP POST /api/prices responded 202 in 13.4689 ms
[19:07:08 INF] HTTP POST /api/prices responded 202 in 9.5648 ms
[19:07:13 INF] Bus stopped: "rabbitmq://localhost/"
[19:09:24 INF] Bus started: "rabbitmq://localhost/"
[19:09:35 WRN] Failed to determine the https port for redirect.
[19:09:35 INF] HTTP POST /api/prices responded 202 in 252.1302 ms
[19:09:35 INF] HTTP POST /api/prices responded 202 in 10.6226 ms
[19:09:35 INF] HTTP POST /api/prices responded 202 in 7.5321 ms
[19:09:36 INF] HTTP POST /api/prices responded 202 in 10.4958 ms
[19:09:36 INF] HTTP POST /api/prices responded 202 in 4.6462 ms
[19:09:36 INF] HTTP POST /api/prices responded 202 in 8.7526 ms
[19:09:36 INF] HTTP POST /api/prices responded 202 in 7.5971 ms
[19:09:37 INF] HTTP POST /api/prices responded 202 in 154.3571 ms
[19:09:37 INF] HTTP POST /api/prices responded 202 in 9.0381 ms
[19:09:37 INF] HTTP POST /api/prices responded 202 in 6.3147 ms
[19:09:37 INF] HTTP POST /api/prices responded 202 in 4.1289 ms
[19:09:38 INF] HTTP POST /api/prices responded 202 in 7.6642 ms
[19:09:38 INF] HTTP POST /api/prices responded 202 in 2.7310 ms
[19:09:38 INF] HTTP POST /api/prices responded 202 in 9.2973 ms
[19:09:38 INF] HTTP POST /api/prices responded 202 in 3.5773 ms
[19:09:39 INF] HTTP POST /api/prices responded 202 in 3.3599 ms
[19:09:39 INF] HTTP POST /api/prices responded 202 in 4.9521 ms
[19:09:39 INF] HTTP POST /api/prices responded 202 in 4.5883 ms
[19:09:39 INF] HTTP POST /api/prices responded 202 in 3.6563 ms
[19:09:39 INF] HTTP POST /api/prices responded 202 in 5.9041 ms
[19:09:40 INF] HTTP POST /api/prices responded 202 in 4.0628 ms
[19:09:40 INF] HTTP POST /api/prices responded 202 in 6.2498 ms
[19:09:40 INF] HTTP POST /api/prices responded 202 in 3.5825 ms
[19:09:40 INF] HTTP POST /api/prices responded 202 in 4.4075 ms
[19:09:41 INF] HTTP POST /api/prices responded 202 in 4.6394 ms
[19:09:41 INF] HTTP POST /api/prices responded 202 in 6.0486 ms
[19:09:41 INF] HTTP POST /api/prices responded 202 in 5.3208 ms
[19:09:41 INF] HTTP POST /api/prices responded 202 in 9.6104 ms
[19:09:42 INF] HTTP POST /api/prices responded 202 in 8.2258 ms
[19:09:42 INF] HTTP POST /api/prices responded 202 in 5.7586 ms
[19:09:42 INF] HTTP POST /api/prices responded 202 in 4.9862 ms
[19:09:42 INF] HTTP POST /api/prices responded 202 in 2.2592 ms
[19:09:42 INF] HTTP POST /api/prices responded 202 in 6.0464 ms
[19:09:43 INF] HTTP POST /api/prices responded 202 in 3.8287 ms
[19:09:43 INF] HTTP POST /api/prices responded 202 in 6.0618 ms
[19:09:43 INF] HTTP POST /api/prices responded 202 in 4.7953 ms
[19:09:43 INF] HTTP POST /api/prices responded 202 in 2.7385 ms
[19:09:44 INF] HTTP POST /api/prices responded 202 in 4.4407 ms
[19:09:44 INF] HTTP POST /api/prices responded 202 in 3.9485 ms
[19:09:44 INF] HTTP POST /api/prices responded 202 in 6.0188 ms
[19:09:44 INF] HTTP POST /api/prices responded 202 in 4.5114 ms
[19:09:44 INF] HTTP POST /api/prices responded 202 in 2.9533 ms
[19:09:45 INF] HTTP POST /api/prices responded 202 in 3.5969 ms
[19:09:45 INF] HTTP POST /api/prices responded 202 in 6.2122 ms
[19:09:45 INF] HTTP POST /api/prices responded 202 in 4.8212 ms
[19:09:45 INF] HTTP POST /api/prices responded 202 in 8.5350 ms
[19:09:46 INF] HTTP POST /api/prices responded 202 in 11.5522 ms
[19:09:46 INF] HTTP POST /api/prices responded 202 in 14.8891 ms
[19:09:46 INF] HTTP POST /api/prices responded 202 in 4.8809 ms
[19:09:46 INF] HTTP POST /api/prices responded 202 in 6.4538 ms
[19:10:25 INF] HTTP GET /api/prices/BTC responded 200 in 86.5154 ms
[19:11:27 INF] HTTP GET /api/prices/history/BTC responded 200 in 255.4577 ms
[19:11:45 INF] HTTP GET /api/prices/history/BTC responded 400 in 31.8811 ms
[19:11:51 INF] HTTP GET /api/prices/history/BTC responded 400 in 9.2136 ms
[19:11:54 INF] HTTP GET /api/prices/history/BTC responded 200 in 19.3900 ms
[19:12:03 INF] HTTP GET /api/prices/history/BT responded 200 in 20.8794 ms
[19:12:11 INF] HTTP GET /api/prices/history/BCT responded 200 in 19.7846 ms
[19:12:45 INF] Bus stopped: "rabbitmq://localhost/"
